field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,winter_minute_survey_on_covid19_vaccines,,text,"Record ID",,,,,,,,,,,,,
cope_vaccine3,winter_minute_survey_on_covid19_vaccines,,descriptive,"COVID-19 Vaccine Survey",,"Start Date: 11/1/2021; End Date: 1/20/2022",,,,,,,,,,,
cdc_covid_xx_a_date15,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose15] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose15,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose15] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose15_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose15] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose15,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose15] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose15,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose15(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose15,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose15] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose15_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose15] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose16,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose15] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date16,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose16] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose16,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose16] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose16_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose16] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose16,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose16] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose16,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose16(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose16,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose16] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose16_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose16] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose17,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose16] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date17,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose17] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose17,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose17] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose17_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose17] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose17,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose17] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose17,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose17(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose17,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose17] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose17_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose17] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
sdoh_outro_text,winter_minute_survey_on_covid19_vaccines,,descriptive,"Thank you for taking this COVID-19 Vaccine Survey! Now that you've shared your experience with the All of Us Research Program, please remember to click the 'Submit' button to record your responses. We may be in touch to ask you about your future COVID-19 vaccination experiences. If you are interested in additional resources about COVID-19 vaccine research, please click on the COVID-19 section under the Learning Center Tab in your portal. ",,,,,,,,,,,,,
covid_19_vaccine_content,covid19_vaccine_survey_documentation,,descriptive,"COVID-19 Vaccine Survey Content (updated 10/6/21)",,,,,,,,,,,,,
